Date,Carbon
1959-01,315.42
1959-02,316.32
1959-03,316.49
1959-04,317.56
1959-05,318.13
1959-06,318
1959-07,316.39
1959-08,314.66
1959-09,313.68
1959-10,313.18
1959-11,314.66
1959-12,315.43
1960-01,316.27
1960-02,316.81
1960-03,317.42
1960-04,318.87
1960-05,319.87
1960-06,319.43
1960-07,318.01
1960-08,315.75
1960-09,314
1960-10,313.68
1960-11,314.84
1960-12,316.03
1961-01,316.73
1961-02,317.54
1961-03,318.38
1961-04,319.31
1961-05,320.42
1961-06,319.61
1961-07,318.42
1961-08,316.64
1961-09,314.83
1961-10,315.15
1961-11,315.95
1961-12,316.85
1962-01,317.78
1962-02,318.4
1962-03,319.53
1962-04,320.41
1962-05,320.85
1962-06,320.45
1962-07,319.44
1962-08,317.25
1962-09,316.12
1962-10,315.27
1962-11,316.53
1962-12,317.53
1963-01,318.58
1963-02,318.92
1963-03,319.7
1963-04,321.22
1963-05,322.08
1963-06,321.31
1963-07,319.58
1963-08,317.61
1963-09,316.05
1963-10,315.83
1963-11,316.91
1963-12,318.2
1964-01,319.41
1964-02,320.07
1964-03,320.74
1964-04,321.4
1964-05,322.06
1964-06,321.73
1964-07,320.27
1964-08,318.54
1964-09,316.54
1964-10,316.71
1964-11,317.53
1964-12,318.55
1965-01,319.27
1965-02,320.28
1965-03,320.73
1965-04,321.97
1965-05,322
1965-06,321.71
1965-07,321.05
1965-08,318.71
1965-09,317.65
1965-10,317.14
1965-11,318.71
1965-12,319.25
1966-01,320.46
1966-02,321.43
1966-03,322.22
1966-04,323.54
1966-05,323.91
1966-06,323.59
1966-07,322.26
1966-08,320.21
1966-09,318.48
1966-10,317.94
1966-11,319.63
1966-12,320.87
1967-01,322.17
1967-02,322.34
1967-03,322.88
1967-04,324.25
1967-05,324.83
1967-06,323.93
1967-07,322.39
1967-08,320.76
1967-09,319.1
1967-10,319.23
1967-11,320.56
1967-12,321.8
1968-01,322.4
1968-02,322.99
1968-03,323.73
1968-04,324.86
1968-05,325.41
1968-06,325.19
1968-07,323.97
1968-08,321.92
1968-09,320.1
1968-10,319.96
1968-11,320.97
1968-12,322.48
1969-01,323.52
1969-02,323.89
1969-03,325.04
1969-04,326.01
1969-05,326.67
1969-06,325.96
1969-07,325.13
1969-08,322.9
1969-09,321.61
1969-10,321.01
1969-11,322.08
1969-12,323.37
1970-01,324.34
1970-02,325.3
1970-03,326.29
1970-04,327.54
1970-05,327.54
1970-06,327.21
1970-07,325.98
1970-08,324.42
1970-09,322.91
1970-10,322.9
1970-11,323.85
1970-12,324.96
1971-01,326.01
1971-02,326.51
1971-03,327.01
1971-04,327.62
1971-05,328.76
1971-06,328.4
1971-07,327.2
1971-08,325.28
1971-09,323.2
1971-10,323.4
1971-11,324.64
1971-12,325.85
1972-01,326.6
1972-02,327.47
1972-03,327.58
1972-04,329.56
1972-05,329.9
1972-06,328.92
1972-07,327.89
1972-08,326.17
1972-09,324.68
1972-10,325.04
1972-11,326.34
1972-12,327.39
1973-01,328.37
1973-02,329.4
1973-03,330.14
1973-04,331.33
1973-05,332.31
1973-06,331.9
1973-07,330.7
1973-08,329.15
1973-09,327.34
1973-10,327.02
1973-11,327.99
1973-12,328.48
1974-01,329.18
1974-02,330.55
1974-03,331.32
1974-04,332.48
1974-05,332.92
1974-06,332.08
1974-07,331.02
1974-08,329.24
1974-09,327.28
1974-10,327.21
1974-11,328.29
1974-12,329.41
1975-01,330.23
1975-02,331.24
1975-03,331.87
1975-04,333.14
1975-05,333.8
1975-06,333.42
1975-07,331.73
1975-08,329.9
1975-09,328.4
1975-10,328.17
1975-11,329.32
1975-12,330.59
1976-01,331.58
1976-02,332.39
1976-03,333.33
1976-04,334.41
1976-05,334.71
1976-06,334.17
1976-07,332.88
1976-08,330.77
1976-09,329.14
1976-10,328.77
1976-11,330.14
1976-12,331.52
1977-01,332.75
1977-02,333.25
1977-03,334.53
1977-04,335.9
1977-05,336.57
1977-06,336.1
1977-07,334.76
1977-08,332.59
1977-09,331.41
1977-10,330.98
1977-11,332.24
1977-12,333.68
1978-01,334.8
1978-02,335.22
1978-03,336.47
1978-04,337.59
1978-05,337.84
1978-06,337.72
1978-07,336.37
1978-08,334.51
1978-09,332.6
1978-10,332.37
1978-11,333.75
1978-12,334.79
1979-01,336.05
1979-02,336.59
1979-03,337.79
1979-04,338.71
1979-05,339.3
1979-06,339.12
1979-07,337.56
1979-08,335.92
1979-09,333.74
1979-10,333.7
1979-11,335.13
1979-12,336.56
1980-01,337.84
1980-02,338.19
1980-03,339.9
1980-04,340.6
1980-05,341.29
1980-06,341
1980-07,339.39
1980-08,337.43
1980-09,335.72
1980-10,335.84
1980-11,336.93
1980-12,338.04
1981-01,339.06
1981-02,340.3
1981-03,341.21
1981-04,342.33
1981-05,342.74
1981-06,342.07
1981-07,340.32
1981-08,338.27
1981-09,336.52
1981-10,336.68
1981-11,338.19
1981-12,339.44
1982-01,340.57
1982-02,341.44
1982-03,342.53
1982-04,343.39
1982-05,343.96
1982-06,343.18
1982-07,341.88
1982-08,339.65
1982-09,337.8
1982-10,337.69
1982-11,339.09
1982-12,340.32
1983-01,341.2
1983-02,342.35
1983-03,342.93
1983-04,344.77
1983-05,345.58
1983-06,345.14
1983-07,343.81
1983-08,342.22
1983-09,339.69
1983-10,339.82
1983-11,340.98
1983-12,342.82
1984-01,343.52
1984-02,344.33
1984-03,345.11
1984-04,346.88
1984-05,347.25
1984-06,346.61
1984-07,345.22
1984-08,343.11
1984-09,340.9
1984-10,341.17
1984-11,342.8
1984-12,344.04
1985-01,344.79
1985-02,345.82
1985-03,347.25
1985-04,348.17
1985-05,348.75
1985-06,348.07
1985-07,346.38
1985-08,344.52
1985-09,342.92
1985-10,342.63
1985-11,344.06
1985-12,345.38
1986-01,346.12
1986-02,346.79
1986-03,347.69
1986-04,349.38
1986-05,350.04
1986-06,349.38
1986-07,347.78
1986-08,345.75
1986-09,344.7
1986-10,344.01
1986-11,345.5
1986-12,346.75
1987-01,347.86
1987-02,348.32
1987-03,349.26
1987-04,350.84
1987-05,351.7
1987-06,351.11
1987-07,349.37
1987-08,347.97
1987-09,346.31
1987-10,346.22
1987-11,347.68
1987-12,348.82
1988-01,350.29
1988-02,351.58
1988-03,352.08
1988-04,353.45
1988-05,354.08
1988-06,353.66
1988-07,352.25
1988-08,350.3
1988-09,348.58
1988-10,348.74
1988-11,349.93
1988-12,351.21
1989-01,352.62
1989-02,352.93
